det1,det2,det3,det4,det5,det6,det7,det8,det9,det10,det11,det12,det13,det14,det15,det16,det17,det18,det19,det20,det21,det22,det23,det24,det25,det26,det27,det28,det29,det30,det31,det32
32,11,10,16,11,22,6,11,9,4,1,0,1,9,11,0,1,0,0,3,0,11,13,0,0,0,0,0,11,1,30,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,0,0,0,0
4,3,6,1,0,0,0,0,0,7,9,4,34,6,0,16,0,0,0,11,10,9,5,0,0,5,0,0,0,7,7,5
0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,1,0,0,0,0,0,10,5,1,2,2,7,1,0,1,1,3,7,0,0,0,NA,8,0,3,1,3,1,0,NA
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,NA
0,0,8,0,0,1,0,1,0,0,7,0,0,13,21,5,0,0,0,0,0,0,0,1,1,2,18,0,0,0,0,5
0,0,3,6,0,0,0,1,0,10,0,1,0,2,0,11,0,1,2,0,1,1,0,0,0,0,0,0,0,4,0,4
0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,4,0,0,0,0,0,2,0,3,2,2,3,10,0,0,0,0,0,0,0,0,0,10,3,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,15,0,0,2,0,3,0,0,44,12,0,0
