hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,hour24,hour25,hour26,hour27,hour28,hour29,hour30,hour31,hour32
216,241,221,287,262,330,175,224,285,293,264,263,313,330,263,335,289,215,190,245,337,283,261,509,238,240,239,240,455,336,222,162
216,241,218,289,262,314,191,238,285,292,288,239,313,329,264,336,289,213,192,246,334,289,NA,501,238,239,239,239,455,335,222,162
NA,NA,NA,NA,NA,NA,NA,NA,254,293,264,265,313,329,264,336,290,218,186,241,338,291,257,508,237,239,239,239,455,168,224,162
216,241,146,311,262,312,193,38,286,292,264,48,308,330,264,323,271,236,188,247,335,280,267,141,237,240,243,238,453,316,241,162
237,215,215,311,264,313,191,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,233,215,316,260,313,192,238,268,288,264,282,311,294,305,311,262,219,213,149,144,48,120,NA,237,240,257,220,482,330,172,NA
220,214,232,314,262,313,192,238,285,290,263,266,311,311,285,332,260,217,215,216,335,287,287,493,237,240,120,221,474,24,176,NA
193,239,234,316,260,315,189,238,290,280,269,264,311,311,310,308,263,215,96,217,103,52,96,144,237,120,258,72,462,353,176,189
193,238,235,316,261,315,189,238,286,284,264,263,311,317,311,308,262,214,216,217,336,312,264,96,237,240,258,219,456,353,176,144
191,72,194,313,48,311,190,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,241,212,310,262,314,189,245,264,288,280,263,311,317,243,335,170,217,191,255,318,287,288,227,235,240,196,241,470,318,96,170
191,241,212,309,263,314,189,246,266,288,280,263,310,318,260,316,269,216,191,255,318,287,287,502,236,244,241,241,447,342,211,169
